event_date,user_id
2024-01-01,168
2024-01-01,530
2024-01-01,155
2024-01-01,3337
2024-01-01,2701
2024-01-01,2369
2024-01-01,2451
2024-01-01,449
2024-01-01,360
2024-01-01,4805
2024-01-01,371
2024-01-01,3918
2024-01-01,3595
2024-01-01,2235
2024-01-01,615
2024-01-01,2972
2024-01-01,4702
2024-01-01,1523
2024-01-01,393
2024-01-01,345
2024-01-01,4281
2024-01-01,2776
2024-01-01,2552
2024-01-01,1905
2024-01-01,763
2024-01-01,4412
2024-01-01,551
2024-01-01,2062
2024-01-01,426
2024-01-01,4359
2024-01-01,993
2024-01-01,1853
2024-01-01,3846
2024-01-01,2230
2024-01-01,3294
2024-01-01,1453
2024-01-01,2554
2024-01-01,1843
2024-01-01,342
2024-01-01,3175
2024-01-01,2638
2024-01-01,3428
2024-01-01,236
2024-01-01,830
2024-01-01,3479
2024-01-01,2077
2024-01-01,2292
2024-01-01,1344
2024-01-01,1003
2024-01-01,4465
2024-01-01,875
2024-01-01,3889
2024-01-01,3125
2024-01-01,4089
2024-01-01,3288
2024-01-01,3131
2024-01-01,4265
2024-01-01,1835
2024-01-01,4824
2024-01-01,3507
2024-01-01,2797
2024-01-01,4108
2024-01-01,3558
2024-01-01,2709
2024-01-01,3330
2024-01-01,1266
2024-01-01,2653
2024-01-01,4317
2024-01-01,216
2024-01-01,2780
2024-01-01,3349
2024-01-01,2576
2024-01-01,756
2024-01-01,163
2024-01-01,4352
2024-01-01,4512
2024-01-01,2678
2024-01-01,4971
2024-01-01,1299
2024-01-01,828
2024-01-01,2173
2024-01-01,4719
2024-01-01,936
2024-01-01,576
2024-01-01,234
2024-01-01,4999
2024-01-01,1915
2024-01-01,4238
2024-01-01,1485
2024-01-01,4319
2024-01-01,948
2024-01-01,473
2024-01-01,2148
2024-01-01,4871
2024-01-01,4997
2024-01-01,4907
2024-01-01,1518
2024-01-01,2236
2024-01-01,2243
2024-01-01,4208
2024-01-01,96
2024-01-01,4001
2024-01-01,4662
2024-01-01,4939
2024-01-01,1997
2024-01-01,4247
2024-01-01,3630
2024-01-01,1411
2024-01-01,4528
2024-01-01,1822
2024-01-01,1636
2024-01-01,3831
2024-01-01,785
2024-01-01,1129
2024-01-01,1257
2024-01-01,2074
2024-01-01,3360
2024-01-01,3508
2024-01-01,2277
2024-01-01,1242
2024-01-01,1641
2024-01-01,2452
2024-01-01,1439
2024-01-01,2736
2024-01-01,283
2024-01-01,1456
2024-01-01,2819
2024-01-01,3159
2024-01-01,2323
2024-01-01,3323
2024-01-01,3337
2024-01-01,3511
2024-01-01,3741
2024-01-01,1388
2024-01-01,1626
2024-01-01,983
2024-01-01,3310
2024-01-01,3152
2024-01-01,2479
2024-01-01,4880
2024-01-01,1518
2024-01-01,1690
2024-01-01,1456
2024-01-01,887
2024-01-01,1470
2024-01-01,2746
2024-01-01,2135
2024-01-01,2828
2024-01-01,984
2024-01-01,4215
2024-01-01,1937
2024-01-01,1598
2024-01-01,149
2024-01-01,2408
2024-01-01,4454
2024-01-01,2379
2024-01-01,1130
2024-01-01,2353
2024-01-01,556
2024-01-01,1417
2024-01-01,4892
2024-01-01,2101
2024-01-01,207
2024-01-01,1439
2024-01-01,3997
2024-01-01,1657
2024-01-01,691
2024-01-01,560
2024-01-01,3200
2024-01-01,4916
2024-01-01,363
2024-01-01,2420
2024-01-01,2398
2024-01-01,3842
2024-01-01,3005
2024-01-01,1135
2024-01-01,3597
2024-01-01,2957
2024-01-01,19
2024-01-01,1778
2024-01-01,2242
2024-01-01,2503
2024-01-01,3717
2024-01-01,3540
2024-01-01,4499
2024-01-01,4615
2024-01-01,2221
2024-01-01,1947
2024-01-01,2590
2024-01-01,1071
2024-01-01,2753
2024-01-01,2353
2024-01-01,1153
2024-01-01,4113
2024-01-01,3492
2024-01-01,4580
2024-01-01,1009
2024-01-01,4313
2024-01-01,2494
2024-01-01,2507
2024-01-01,1093
2024-01-01,234
2024-01-01,3417
2024-01-02,2597
2024-01-02,883
2024-01-02,3282
2024-01-02,4080
2024-01-02,1123
2024-01-02,3165
2024-01-02,3997
2024-01-02,1223
2024-01-02,4724
2024-01-02,888
2024-01-02,2772
2024-01-02,3368
2024-01-02,2658
2024-01-02,2312
2024-01-02,3310
2024-01-02,1070
2024-01-02,3767
2024-01-02,2963
2024-01-02,103
2024-01-02,4125
2024-01-02,3881
2024-01-02,525
2024-01-02,929
2024-01-02,2744
2024-01-02,4747
2024-01-02,3749
2024-01-02,1874
2024-01-02,663
2024-01-02,3023
2024-01-02,975
2024-01-02,514
2024-01-02,3679
2024-01-02,815
2024-01-02,4651
2024-01-02,1750
2024-01-02,3929
2024-01-02,1285
2024-01-02,1700
2024-01-02,2563
2024-01-02,2113
2024-01-02,266
2024-01-02,1106
2024-01-02,1878
2024-01-02,1516
2024-01-02,1742
2024-01-02,407
2024-01-02,2029
2024-01-02,4664
2024-01-02,332
2024-01-02,4917
2024-01-02,4778
2024-01-02,1944
2024-01-02,3887
2024-01-02,4817
2024-01-02,4781
2024-01-02,2920
2024-01-02,2874
2024-01-02,1805
2024-01-02,4579
2024-01-02,1306
2024-01-02,1120
2024-01-02,2041
2024-01-02,4121
2024-01-02,1989
2024-01-02,3428
2024-01-02,4313
2024-01-02,229
2024-01-02,1443
2024-01-02,367
2024-01-02,1752
2024-01-02,4898
2024-01-02,2344
2024-01-02,3345
2024-01-02,4410
2024-01-02,1998
2024-01-02,2157
2024-01-02,3413
2024-01-02,465
2024-01-02,879
2024-01-02,4083
2024-01-02,4294
2024-01-02,3790
2024-01-02,3006
2024-01-02,2027
2024-01-02,2249
2024-01-02,2671
2024-01-02,2049
2024-01-02,2693
2024-01-02,2733
2024-01-02,4385
2024-01-02,4301
2024-01-02,4782
2024-01-02,2335
2024-01-02,299
2024-01-02,3086
2024-01-02,1579
2024-01-02,4338
